index,raw_vendor,vendor
0,AplPayTRADERJOE'SSANDIEGOCA,Trader Joe's
1,AplPayMIRAMARNASCMIRAMARNASCA,Miramar Commissary
2,UBER,Uber
3,AUTOPAYPAYMENT-THANKYOU,AUTOPAY PAYMENT - THANK YOU
4,AplPayVONS#278427SANDIEGOCA,Von's
5,AplPayVONS#278427SANDIEGOCA,Von's
6,VONS#2784,Von's
7,C-STOREAREA214010045,C-STORE AREA 214010045
8,PALOMARMARKET,Palomar Market
9,PROGRESSIVEINS,Progressive Insurance
10,PAYATTHEPUM83020016,PAY AT THE PUM83020016
11,APPLE.COM/BILL,Apple.com
12,APPLE.COM/BILL,Apple.com
13,CLASSPASS*MONTHLY,Classpass
14,DEERVALLEYSIGNATURES,Deer Valley Signatures
15,BCY*BACKCOUNTRY.COM,Backcountry.com
16,BCY*BACKCOUNTRY.COM,Backcountry.com
17,MCASMIRAMARVS,Miramar Veterinary Services
18,SPCOALHEADWEAR,Coal Headwear
19,CLOVERLEAFMARKET&amp;GAS,Clover Leaf Market
20,MIRAMARMAINE83010017,MCX Miramar
21,ARCO#42222AMPM,Arco
22,CHEVRON0091861,Chevron
23,BAHNTHAIATHILLCREST,Bahn Thai
24,THEDEPOT8,The Depot 8
25,COSTCOWHSE#0488,Costco
26,CHEWY.COM,Chewy.com
27,PAYATTHEPUM83020016,PAY AT THE PUM83020016
28,O'REILLYAUTOPARTS2941,O'Reilly Auto Parts
29,MCASMIRAMARVS,Miramar Veterinary Services
30,MARINEMARTST83010108,Marine Mart
31,MARINEMARTST83010108,Marine Mart
32,MARINEMARTST83010108,Marine Mart
33,PETCO119063511901,Petco
34,PETCO119063511901,Petco
35,BCY*BACKCOUNTRY.COM,Backcountry.com
36,TST*SOUTHCABLECAFE,Southcable Cafe
37,SPSTIOMOUNTAIN,Stio
38,TST*SOUTHCABLECAFE,Southcable Cafe
39,CLASSPASS*MONTHLY,Classpass
40,CHAPTERONETATTOOISAAC,Chapter One Tattoo
41,HellyHansenU.S.Inc.,Helly Hansen U.S. Inc.
42,GONSALVESSERV83020032,Gonsalves
43,SPTECOVAS,Tecovas
44,AMICIPETHOSPITAL,Amici Pet Hospital
45,CLAYLACYAVIATIONINCS,Clay Lacy Aviation
46,PLUSONEFLYERS,Plus One Flyers
47,PLUSONEFLYERS,Plus One Flyers
48,PLUSONEFLYERS,Plus One Flyers
49,STUBBORNGOAT,Stubborn Goat
50,CHEVRON0090519,Chevron
51,GRIZZLYOUTFITTERS,Grizzly Outfitters
52,SQ*PARKHILLCHURCH,Park Hill Church
53,MIRAMARMCASCOMMISSARY,Miramar Commissary
54,THEHOMEDEPOT6679,The Home Depot
55,BARK&amp;CO(BARKBOX),BarkBox
56,COSTCOWHSE#0488,Costco
57,THETOLLROADSOFOC,The Tolls Roads of OC
58,LASTPASS.COM,LastPass.com
59,CITYSDPKG-MOBILE43887,City of San Diego Parking
60,COSTCOWHSE#0488,Costco
61,COSTCOWHSE#0488,Costco
62,SNOW.COM/VAILRESORTSSKI,Vail Resorts
63,HARRYS888-212-6855,Harry's
64,BRFACTORY.COM2624,BR Factory
65,SAKSO5SANDIEGO701,Saks Off Fifth
66,TRADERJOES#188,Trader Joe's
67,TARGET00014100,Target
68,TST*LuchaLibreTacoSho,Lucha Libre Taco Shop
69,WALTERANDERSENNURSERYS,Walter Andersen Nursery
70,PLUSONEFLYERS,Plus One Flyers
71,TARGET00002014,Target
72,ATT*BILLPAYMENT,AT&T
73,PortofSanDiegoCA,Port of San Diego
74,BUCKLEGUY.COMLLC,Buckleguy.com
75,SPBARONFIG,Baron Fig
76,PLUSONEFLYERS,Plus One Flyers
77,AplPayCHIPOTLESANDIEGOCA,Chipotle
78,AplPayASPENSMARKETWILSONWY,Aspen's Market
79,UBER,Uber
80,AplPayALBERTSONS#0JACKSONWY,Albertsons
81,AplPayTARGETSANDIEGOCA,Target
82,AplPayJOANNSTORESSANDIEGOCA,Joann Fabric and Crafts
83,UBER,Uber
84,AplPayGELSON'SMARKSANDIEGOCA,Gelson's
85,UBER,Uber
86,AplPayVONS#232723SOLANABEACHCA,Von's
87,AplPayVONS#232723SOLANABEACHCA,Von's
88,AplPayTST*BLUEWATSANDIEGOCA,Blue Water Seafood
89,AplPayTST*MOECOFFSANDIEGOCA,Moe Coffee
90,AplPayTST*OSCARSMSANDIEGOCA,Oscar's Mexican Seafood
91,AplPayGELSON'SMARKSANDIEGOCA,Gelson's
92,AplPayBIRDROCKCOFLaJollaCA,Bird Rock Coffee
93,UBER,Uber
94,TST*CESARINA000325SANDIEGOCA,Cesarina
95,MIRAMARNASCOMMISSAMIRAMARNASCA,Miramar Commissary
96,TST*HARLEYGRAYKITSANDIEGOCA,Harley Gray
97,TST*TRAILERPARKAFSANDIEGOCA,Trailer Park After Dark
98,TST*NORTHPARKBREWSANDIEGOCA,North Park Brewery
99,TST*MOONSHINEFLATSSANDIEGOCA,Moonshine Flats
100,AplPayHILLCRUSTPIZSanDiegoCA,HillCrust Pizza
101,THESILVERFOX00C2SANDIEGOCA,The Silver Fox
102,MISSIONHILLSLIQUORSANDIEGOCA,Mission Hills Liquor
103,ShakeShack-1206(SANDIEGOCA,Shake Shack
104,AplPayCOPAVIDACAFSanDiegoCA,Copa Vida
105,AplPayTST*ARTIFEXSANCLEMENTECA,Artifex Brewing
106,AplPayTST*BETTERBSANDIEGOCA,Better Buzz
107,AplPayHEARTWORKCOFSanDiegoCA,Heartwork Coffee
108,AplPayOBBEANSCOFFSanDiegoCA,OB Beans Coffee
109,TST*CATALINALOUNGESANDIEGOCA,Catalina Lounge
110,HIHOSMSANTAMONICACA,HiHo Cheeseburger
111,TST*CLUBMARINA300SANDIEGOCA,Club Marina
112,TST*CONPANERUSTICSANDIEGOCA,Con Pane
113,TST*HARBORTOWNPUBSANDIEGOCA,Harbor Town Pub
114,POKECHOPSANDIEGOCA,Poke Chop
115,AplPayMIRAMARNASCMIRAMARNASCA,Miramar Commissary
116,AplPayIRONCLADCOFFRichmondVA,Ironclad Coffee Roaster
117,AplPayPUBLIX#1593RICHMONDVA,Publix
118,AplPayCHRISTIANS*CHENRICOVA,Christian's Pizza
119,AplPayCHICK-FIL-A#HENRICOVA,Chick-fil-a
120,TST*THEBACKDECK0VIRGINIABEACHVA,The Back Deck
121,AplPayFOODLION#06VIRGINIABEACHVA,Food Lion
122,AplPayUNIONMARKETRichmondVA,Union Market
123,AplPayUNIONMARKETRichmondVA,Union Market
124,AplPayTST*THREESHVIRGINIABEACVA,Three Ship Roasters
125,AplPayDOGHOUSEGRILFRESNOCA,Dog House Grill
126,AplPayTST*LUCHALISANDIEGOCA,Lucha Libre Taco Shop
127,CASSSTBARANDGRILSANDIEGOCA,Cass St Bar and Grill
128,AplPay10097CAVAMISANDIEGOCA,Cava
129,AplPayTRADERJOESSANDIEGOCA,Trader Joe's
130,TST*MCGREGOR'SGRILSANDIEGOCA,McGregor's Grill
131,AplPayMIRAMARNASCMIRAMARNASCA,Miramar Commissary
132,AplPayTST*MOECOFFSANDIEGOCA,Moe Coffee
133,AplPayOFFTHEPLANCLaMesaCA,Off the Plancha
134,AplPayWINN-DIXIEPALMETTOFL,Winn-Dixie
135,AplPayPANERABREADTAMPAFL,Panera Bread
136,AplPayPANERABREADTAMPAFL,Panera Bread
137,AplPaySTARBUCKSSTOTAMPAFL,Starbucks
138,STONESTHROW9275497TAMPAFL,Stone's Throw
139,AplPayKAHWACOFFEETAMPAFL,Kahwa Coffee
140,AplPayTST*VALEFOOTAMPAFL,Vale Food
141,AplPayTHEPORTICOCTampaFL,The Portico Cafe
142,AplPayWHOLEFDSWTP#TAMPAFL,Whole Foods
143,AplPayTST*BUDDYBRTAMPAFL,Buddy Brew Coffee
144,AplPayMACDILLAFBCTAMPAFL,MacDill Commissary
145,AplPayMACDILLAFBCTAMPAFL,MacDill Commissary
146,AplPayMACDILLAFBCTAMPAFL,MacDill Commissary
147,TANDYLEATHER#145,Tandy Leather
148,PLUSONEFLYERS,Plus One Flyers
149,FLIGHTLINEST83010090,Flight Line
150,HILLCRESTCLEANERS,Hillcrest Cleaners
151,BUCKLEGUY.COMLLC,Buckleguy.com
152,UNIVERSITYOFRICHMOND,University of Richmond
153,CITYPARKINGINC,City Parking
154,TARGET00010496,Target
155,DILLARDS176SHORTPUM,Dillard's
156,BP#9323452KENTISLANDBP,BP
157,TROPICALSMOOTHIECAFEVA,Tropical Smoothie Cafe
158,TIGERMART,Tiger Mart
159,AMZNMktpUS*TU47V1WO3,Amazon.com
160,LYFT*1RIDE05-27,Lyft
161,TARGET00020404,Target
162,CVS/PHARMACY#04181,CVS
163,TARGET00020404,Target
164,TARGET00020404,Target
165,TARGET00020404,Target
166,TARGET00020404,Target
167,REI#199TAMPA,REI
168,CVS/PHARMACY#03930,CVS
169,WALGREENS#7815,Walgreens
170,MACDILLMAINSTORE,Exchange MacDill
171,MACDILLMAINSTORE,Exchange MacDill
172,AAFESMACDILLAUTOPRID,MacDill Express
173,HOMEGOODS#0546,HomeGoods
174,THEUPSSTORE3751,The UPS Store
175,WALGREENS#5451,Walgreens
176,PLUSONEFLYERS0463SANDIEGOCA,Plus One Flyers
177,30183FITATHLETIC3SANDIEGOCA,Fit Athletic
178,DISNEYPLUS888-905-7888CA,Disney Plus
179,VRBOFEEHOMEAWAYRE512-759-0902,VRBO
